prot1,prot2,BLASTidentity,S,N,dNdS,dN,dS
NC_045952.1_prot_XP_032577302.1_18187,NC_052523.2_prot_XP_016036276.1_19947,99.679,409.9,1462.1,0.0259,0.0014,0.0536
NC_045952.1_prot_XP_002041347.1_18314,NC_052523.2_prot_XP_002105020.1_20078,99.123,150.1,533.9,0.0617,0.0037,0.0600
NC_045952.1_prot_XP_002041351.1_18321,NC_052523.2_prot_XP_002105024.1_20084,99.369,242.3,708.7,0.0745,0.0029,0.0384
NC_045952.1_prot_XP_002041483.1_18529,NC_052523.2_prot_XP_002076668.2_20306,99.507,431.5,1395.5,0.0885,0.0022,0.0243
NC_045952.1_prot_XP_032577710.1_18797,NC_052523.2_prot_XP_016036759.1_20585,99.339,505.9,1762.1,0.0471,0.0029,0.0610
NC_045952.1_prot_XP_002037220.1_18913,NC_052523.2_prot_XP_002105368.1_20712,99.203,955.5,3184.5,0.0553,0.0038,0.0690
NC_045952.1_prot_XP_002037236.1_18932,NC_052523.2_prot_XP_002105383.1_20736,98.649,190.9,697.1,0.1375,0.0059,0.0429
NC_045952.1_prot_XP_002037283.1_18998,NC_052523.2_prot_XP_002105434.1_20812,100.000,240.2,677.8,0.0010,0.0001,0.0607
NC_045952.1_prot_XP_002043737.1_19324,NC_052523.2_prot_XP_002105652.1_21170,99.669,165.7,740.3,0.0343,0.0014,0.0394
NC_045954.1_prot_XP_002040291.1_19905,NC_052525.2_prot_XP_016037611.1_21791,98.163,227.7,918.3,0.1936,0.0100,0.0519
NC_045954.1_prot_XP_002040304.1_19917,NC_052525.2_prot_XP_002105877.1_21803,100.000,413.7,1311.3,0.0010,0.0000,0.0121
NC_045954.1_prot_XP_032580702.1_19956,NC_052525.2_prot_XP_016037644.1_21838,99.469,309.5,818.5,0.0749,0.0012,0.0165
NC_045954.1_prot_XP_002040378.2_20009,NC_052525.2_prot_XP_016037690.1_21913,99.301,559.2,2446.8,0.0665,0.0029,0.0434
NC_045954.1_prot_XP_002040424.1_20073,NC_052525.2_prot_XP_016037743.1_21973,99.702,413.7,1602.3,0.0387,0.0013,0.0324
NC_045954.1_prot_XP_002040435.1_20081,NC_052525.2_prot_XP_016037749.1_21980,99.718,282.7,782.3,0.0594,0.0013,0.0218
NC_045954.1_prot_XP_032582249.1_20132,NC_052525.2_prot_XP_016037786.1_22037,99.616,385.8,1177.2,0.0326,0.0017,0.0534
NC_045954.1_prot_XP_002040490.1_20152,NC_052525.2_prot_XP_039152526.1_22057,99.715,348.8,1757.2,0.0256,0.0011,0.0444
NC_045954.1_prot_XP_002040495.1_20159,NC_052525.2_prot_XP_002105981.1_22064,99.065,324.9,1280.1,0.0982,0.0039,0.0398
NC_045954.1_prot_XP_032580415.1_20321,NC_052525.2_prot_XP_016037983.1_22258,98.185,406.2,1081.8,0.2249,0.0087,0.0388
NC_045954.1_prot_XP_032580819.1_20413,NC_052525.2_prot_XP_039153343.1_22378,98.862,658.3,2242.7,0.1833,0.0049,0.0270
NC_045954.1_prot_XP_002037004.1_20440,NC_052525.2_prot_XP_002106131.1_22412,99.603,175.3,580.7,0.0429,0.0017,0.0406
NC_045954.1_prot_XP_002036884.1_20598,NC_052525.2_prot_XP_002106215.1_22647,99.460,372.1,1295.9,0.0374,0.0024,0.0635
NC_045954.1_prot_XP_002036830.1_20677,NC_052525.2_prot_XP_002106264.1_22722,99.451,100.2,445.8,0.0316,0.0023,0.0725
NC_045954.1_prot_XP_002036799.2_20730,NC_052525.2_prot_XP_016038284.1_22778,98.353,251.7,1017.3,0.2518,0.0050,0.0200
NC_045954.1_prot_XP_002043201.1_20876,NC_052525.2_prot_XP_002106353.1_22927,99.522,97.4,529.6,0.0207,0.0019,0.0911
NC_045954.1_prot_XP_002043220.1_20898,NC_052525.2_prot_XP_002106372.1_22948,100.000,246.4,560.6,0.0010,0.0000,0.0246
NC_045954.1_prot_XP_032581376.1_20967,NC_052525.2_prot_XP_002106406.1_23021,99.312,254.1,1053.9,0.0483,0.0029,0.0592
NC_045954.1_prot_XP_002044013.1_21070,NC_052525.2_prot_XP_016038527.1_23137,99.213,449.3,1455.7,0.0800,0.0035,0.0435
NC_045954.1_prot_XP_032580093.1_21139,NC_052525.2_prot_XP_016038588.1_23226,99.482,659.4,2241.6,0.0538,0.0027,0.0509
NC_045954.1_prot_XP_002044064.1_21141,NC_052525.2_prot_XP_002106495.1_23227,95.339,118.4,589.6,0.4459,0.0191,0.0429
NC_045954.1_prot_XP_032581381.1_21153,NC_052525.2_prot_XP_002106524.2_23320,99.129,284.6,1095.4,0.1404,0.0046,0.0330
NC_045954.1_prot_XP_002043988.2_21156,NC_052525.2_prot_XP_002106521.1_23317,99.109,246.9,1100.1,0.1022,0.0037,0.0364
NC_045954.1_prot_XP_032581405.1_21169,NC_052525.2_prot_XP_002076921.1_23302,99.634,355.3,1285.7,0.0300,0.0016,0.0525
NC_045954.1_prot_XP_002044668.1_21273,NC_052525.2_prot_XP_002076753.1_23370,99.614,166.5,610.5,0.0301,0.0017,0.0552
NC_045954.1_prot_XP_002041788.1_21299,NC_052525.2_prot_XP_002106564.1_23402,100.000,166.4,772.6,0.0010,0.0001,0.0502
NC_045954.1_prot_XP_002041863.1_21421,NC_052525.2_prot_XP_002106600.1_23543,99.528,139.3,496.7,0.0982,0.0020,0.0209
NC_045954.1_prot_XP_002041964.1_21559,NC_052525.2_prot_XP_002106667.1_23704,100.000,99.3,332.7,0.0010,0.0001,0.0625
NC_045954.1_prot_XP_032581411.1_22048,NC_052525.2_prot_XP_016039255.1_24240,99.040,614.0,2512.0,0.1113,0.0040,0.0360
NC_045954.1_prot_XP_002042726.1_22057,NC_052525.2_prot_XP_044779508.1_24249,100.000,258.9,893.1,0.0010,0.0000,0.0238
NC_045954.1_prot_XP_002042778.1_22125,NC_052525.2_prot_XP_002106918.2_24325,96.829,268.7,1150.3,0.3380,0.0132,0.0392
NC_045954.1_prot_XP_002044182.2_22393,NC_052525.2_prot_XP_016039447.1_24602,98.711,300.3,863.7,0.0828,0.0059,0.0708
NC_045954.1_prot_XP_032580330.1_22573,NC_052525.2_prot_XP_016039634.1_24813,99.792,378.4,1064.6,0.0170,0.0010,0.0559
NC_045954.1_prot_XP_002042302.1_22726,NC_052525.2_prot_XP_002107160.2_24973,93.857,283.4,931.6,0.5278,0.0267,0.0506
NC_045954.1_prot_XP_002042316.1_22748,NC_052525.2_prot_XP_039152449.1_24995,100.000,145.0,422.0,0.0010,0.0000,0.0274
NC_045954.1_prot_XP_002039340.1_23095,NC_052525.2_prot_XP_016039958.1_25364,99.798,267.0,1215.0,0.0144,0.0008,0.0575
NC_045954.1_prot_XP_002039421.2_23204,NC_052525.2_prot_XP_016040034.1_25474,95.577,552.8,2186.2,0.3635,0.0130,0.0358
NC_045954.1_prot_XP_032582534.1_23231,NC_052525.2_prot_XP_016040058.1_25500,99.429,106.6,418.4,0.0472,0.0024,0.0505
NC_045954.1_prot_XP_002039452.1_23243,NC_052525.2_prot_XP_002107424.2_25515,99.487,116.1,468.9,0.2406,0.0021,0.0089
NC_045954.1_prot_XP_032580569.1_23311,NC_052525.2_prot_XP_016040120.1_25594,99.262,121.0,692.0,0.0779,0.0029,0.0367
NC_045954.1_prot_XP_032581304.1_23355,NC_052525.2_prot_XP_002107474.1_25655,99.583,98.3,621.7,0.0376,0.0016,0.0430
NC_045954.1_prot_XP_002039534.1_23356,NC_052525.2_prot_XP_002107475.1_25656,100.000,121.9,928.1,0.0010,0.0000,0.0318
NC_045954.1_prot_XP_032580889.1_23617,NW_025416856.1_prot_XP_016026096.1_26081,99.864,529.1,1669.9,0.3097,0.0006,0.0019
NW_022611138.1_prot_XP_002031451.2_23867,NC_052523.2_prot_XP_002103690.1_17942,98.836,524.2,1533.8,0.1307,0.0053,0.0407
