Plasmopara halstedii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_cds_from_genomic.fna.gz
Heterostelium album PN500	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/825/GCF_000004825.1_PolPal_Dec2009/GCF_000004825.1_PolPal_Dec2009_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/825/GCF_000004825.1_PolPal_Dec2009/GCF_000004825.1_PolPal_Dec2009_cds_from_genomic.fna.gz
Trypanosoma brucei gambiense DAL972	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1/GCF_000210295.1_ASM21029v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1/GCF_000210295.1_ASM21029v1_cds_from_genomic.fna.gz
Saprolegnia parasitica CBS 223.65	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/545/GCF_000151545.1_ASM15154v2/GCF_000151545.1_ASM15154v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/545/GCF_000151545.1_ASM15154v2/GCF_000151545.1_ASM15154v2_cds_from_genomic.fna.gz
Phytophthora parasitica INRA-310	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/585/GCF_000247585.1_PP_INRA-310_V2/GCF_000247585.1_PP_INRA-310_V2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/585/GCF_000247585.1_PP_INRA-310_V2/GCF_000247585.1_PP_INRA-310_V2_cds_from_genomic.fna.gz
Cryptosporidium ubiquitum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/345/GCF_001865345.1_ASM186534v1/GCF_001865345.1_ASM186534v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/345/GCF_001865345.1_ASM186534v1/GCF_001865345.1_ASM186534v1_cds_from_genomic.fna.gz
Theileria orientalis strain Shintoku	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/895/GCF_000740895.1_ASM74089v1/GCF_000740895.1_ASM74089v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/895/GCF_000740895.1_ASM74089v1/GCF_000740895.1_ASM74089v1_cds_from_genomic.fna.gz
Plasmodium sp. gorilla clade G2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/097/015/GCF_900097015.1_PADLG01/GCF_900097015.1_PADLG01_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/097/015/GCF_900097015.1_PADLG01/GCF_900097015.1_PADLG01_cds_from_genomic.fna.gz
Guillardia theta CCMP2712	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1/GCF_000315625.1_Guith1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1/GCF_000315625.1_Guith1_cds_from_genomic.fna.gz
Leishmania mexicana MHOM/GT/2001/U1103	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/665/GCF_000234665.1_ASM23466v4/GCF_000234665.1_ASM23466v4_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/665/GCF_000234665.1_ASM23466v4/GCF_000234665.1_ASM23466v4_cds_from_genomic.fna.gz
Blastocystis sp. subtype 4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/755/GCF_000743755.1_ASM74375v1/GCF_000743755.1_ASM74375v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/755/GCF_000743755.1_ASM74375v1/GCF_000743755.1_ASM74375v1_cds_from_genomic.fna.gz
Entamoeba nuttalli P19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/125/GCF_000257125.1_ENU1_v1/GCF_000257125.1_ENU1 v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/125/GCF_000257125.1_ENU1_v1/GCF_000257125.1_ENU1 v1_cds_from_genomic.fna.gz
Nannochloropsis gaditana CCMP526	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/725/GCF_000240725.1_ASM24072v1/GCF_000240725.1_ASM24072v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/725/GCF_000240725.1_ASM24072v1/GCF_000240725.1_ASM24072v1_cds_from_genomic.fna.gz
Plasmodium cynomolgi strain B	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/355/GCF_000321355.1_PcynB_1.0/GCF_000321355.1_PcynB_1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/355/GCF_000321355.1_PcynB_1.0/GCF_000321355.1_PcynB_1.0_cds_from_genomic.fna.gz
Babesia microti strain RI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/945/GCF_000691945.2_ASM69194v2/GCF_000691945.2_ASM69194v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/945/GCF_000691945.2_ASM69194v2/GCF_000691945.2_ASM69194v2_cds_from_genomic.fna.gz
Saprolegnia diclina VS20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/045/GCF_000281045.1_Sap_diclina_VS20_V1/GCF_000281045.1_Sap_diclina_VS20_V1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/045/GCF_000281045.1_Sap_diclina_VS20_V1/GCF_000281045.1_Sap_diclina_VS20_V1_cds_from_genomic.fna.gz
Plasmodium inui San Antonio 1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/495/GCF_000524495.1_Plas_inui_San_Antonio_1_V1/GCF_000524495.1_Plas_inui_San_Antonio_1_V1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/495/GCF_000524495.1_Plas_inui_San_Antonio_1_V1/GCF_000524495.1_Plas_inui_San_Antonio_1_V1_cds_from_genomic.fna.gz
Acanthamoeba castellanii str. Neff	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1/GCF_000313135.1_Acastellanii.strNEFF v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1/GCF_000313135.1_Acastellanii.strNEFF v1_cds_from_genomic.fna.gz
Acytostelium subglobosum LB1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/575/GCF_000787575.1_Asub_2.0/GCF_000787575.1_Asub_2.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/575/GCF_000787575.1_Asub_2.0/GCF_000787575.1_Asub_2.0_cds_from_genomic.fna.gz
Theileria equi strain WA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/342/415/GCF_000342415.1_JCVI-bewag-v1.1/GCF_000342415.1_JCVI-bewag-v1.1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/342/415/GCF_000342415.1_JCVI-bewag-v1.1/GCF_000342415.1_JCVI-bewag-v1.1_cds_from_genomic.fna.gz
